rank,start,decay_per_day,floor,mean_cohort_accuracy,mean_event_accuracy,delta_vs_50_50_pp,delta_vs_irl_only_pp,delta_vs_online_only_pp
211,0.85,0.05,0.15,83.76193542171161,84.19851358445035,-0.34998953414167033,1.558806239360635,7.389682561438207
212,0.85,0.05,0.1,83.72122913033628,84.1543482853453,-0.39069582551699966,1.5180999479853057,7.348976270062877
213,0.8,0.05,0.25,83.68418288406598,84.13041818723632,-0.42774207178730705,1.4810537017149983,7.31193002379257
214,1.0,0.01,0.5,83.53135316658587,83.65600692023548,-0.5805717892674096,1.3282239842348957,7.159100306312467
215,1.0,0.01,0.45,83.53135316658587,83.65600692023548,-0.5805717892674096,1.3282239842348957,7.159100306312467
216,1.0,0.01,0.4,83.53135316658587,83.65600692023548,-0.5805717892674096,1.3282239842348957,7.159100306312467
217,1.0,0.01,0.35,83.53135316658587,83.65600692023548,-0.5805717892674096,1.3282239842348957,7.159100306312467
218,1.0,0.01,0.3,83.53135316658587,83.65600692023548,-0.5805717892674096,1.3282239842348957,7.159100306312467
219,1.0,0.01,0.25,83.53135316658587,83.65600692023548,-0.5805717892674096,1.3282239842348957,7.159100306312467
220,1.0,0.01,0.2,83.53135316658587,83.65600692023548,-0.5805717892674096,1.3282239842348957,7.159100306312467
221,1.0,0.01,0.15,83.53135316658587,83.65600692023548,-0.5805717892674096,1.3282239842348957,7.159100306312467
222,1.0,0.01,0.1,83.53135316658587,83.65600692023548,-0.5805717892674096,1.3282239842348957,7.159100306312467
223,0.8,0.05,0.2,83.5193057211724,83.9857872693674,-0.5926192346808818,1.3161765388214235,7.147052860898995
224,0.8,0.05,0.15,83.37289775148537,83.85138832199722,-0.7390272043679147,1.1697685691343906,7.000644891211962
225,0.8,0.05,0.1,83.33219146011004,83.80722302289217,-0.779733495743244,1.1290622777590613,6.959938599836633
